2013_Variable_Name,2013_Current_Competitiveness,2013_Future_Competitiveness,2013_Category,2016_Variable_Name,2016_Current_Competitiveness,2016_Future_Competitiveness,2016_Category,2016_Cluster,Auto_Variable_Name,Auto_Current_Competitiveness,Auto_Future_Competitiveness,Auto_Category,Auto_Cluster,Consumer_Variable_Name,Consumer_Current_Competitiveness,Consumer_Future_Competitiveness,Consumer_Category,Consumer_Cluster,Industry_Variable_Name,Industry_Current_Competitiveness,Industry_Future_Competitiveness,Industry_Category,Industry_Cluster,Hitech_Variable_Name,Hitech_Current_Competitiveness,Hitech_Future_Competitiveness,Hitech_Category,Hitech_Cluster
Adv. Data Analytics,44.7,34.6,Game changers,Adv. Data Analytics,15.6,24.1,Creating advantage,Advanced Technologies and R&D,Brand strength,84.9,93.9,Qualifiers,"Brand, Reputation, and Managing Customer Perceptions",Brand strength,88.1,89.2,Qualifiers,"Brand, Reputation, and Managing Customer Perceptions",Brand strength,100,100,Game changers,"Brand, Reputation, and Managing Customer Perceptions",Brand strength,93.6,100,Game changers,"Brand, Reputation, and Managing Customer Perceptions"
Balance sheet strength,98,72.9,Game changers,Balance sheet strength,96.5,72.8,Game changers,"Balance Sheet, Financial, and Risk Processes",Leadership & Mgmt,65.4,83.2,Game changers,Leadership & Succession Strategy,Leadership & Mgmt,87,89,Being challenged,Leadership & Succession Strategy,Leadership & Mgmt,71.6,73.8,Qualifiers,Leadership & Succession Strategy,Leadership & Mgmt,100,92.8,Being challenged,Leadership & Succession Strategy
Brand strength,100,99,Game changers,Brand strength,97.1,100,Game changers,"Brand, Reputation, and Managing Customer Perceptions",Leader. Succession,24,58,Being challenged,Leadership & Succession Strategy,Leader. Succession,75.2,67.4,Being challenged,Leadership & Succession Strategy,Leader. Succession,50.3,58.8,Qualifiers,Leadership & Succession Strategy,Leader. Succession,67.4,66.8,Qualifiers,Leadership & Succession Strategy
IT Resources,39,38.4,Qualifiers,IT Resources,51.8,49.5,Qualifiers,Manufacturing and Supplier Capabilities,Delivery speed,80.6,95.6,Creating advantage,"Brand, Reputation, and Managing Customer Perceptions",Delivery speed,85.1,96.9,Qualifiers,"Brand, Reputation, and Managing Customer Perceptions",Delivery speed,70,74.4,Being challenged,"Brand, Reputation, and Managing Customer Perceptions",Delivery speed,83.4,78.5,Qualifiers,"Brand, Reputation, and Managing Customer Perceptions"
Cost of materials,47.4,52.6,Being challenged,Cost of materials,39.1,33.8,Creating advantage,Cost Structure: Labor and Materials,Customer perceived value,96.9,99.6,Being challenged,"Brand, Reputation, and Managing Customer Perceptions",Customer perceived value,89.9,82.8,Creating advantage,"Brand, Reputation, and Managing Customer Perceptions",Customer perceived value,88.3,87.8,Game changers,"Brand, Reputation, and Managing Customer Perceptions",Customer perceived value,97.2,79.4,Being challenged,"Brand, Reputation, and Managing Customer Perceptions"
Customer perceived value,78.8,97.7,Qualifiers,Customer perceived value,100,92.8,Being challenged,"Brand, Reputation, and Managing Customer Perceptions",Sales experience,73.1,82.4,Creating advantage,"Brand, Reputation, and Managing Customer Perceptions",Sales experience,79,74.1,Qualifiers,"Brand, Reputation, and Managing Customer Perceptions",Sales experience,72.9,66.2,Being challenged,"Brand, Reputation, and Managing Customer Perceptions",Sales experience,84.4,72.1,Qualifiers,"Brand, Reputation, and Managing Customer Perceptions"
Delivery speed,70.6,89.3,Game changers,Delivery speed,83.3,86.2,Qualifiers,"Brand, Reputation, and Managing Customer Perceptions",Tech to understand customer needs,26,37,Game changers,Advanced Technologies and R&D,Tech to understand customer needs,38.9,54.1,Qualifiers,Advanced Technologies and R&D,Tech to understand customer needs,35.1,42.2,Qualifiers,Advanced Technologies and R&D,Tech to understand customer needs,60.9,86,Game changers,Advanced Technologies and R&D
Employee retention,50,66.3,Qualifiers,Employee retention,68.3,57.5,Qualifiers,Talent,Skilled workforce availability,59.5,75.6,Qualifiers,Talent,Skilled workforce availability,60.6,67.8,Qualifiers,Talent,Skilled workforce availability,59,73.6,Creating advantage,Talent,Skilled workforce availability,82,73.1,Being challenged,Talent
Energy management and efficiency,26.4,22.9,Qualifiers,Energy Costs,46,46.6,Qualifiers,Cost Structure: Labor and Materials,Innovation culture,53.6,69.8,Qualifiers,Advanced Technologies and R&D,Innovation culture,59.1,87.4,Game changers,Advanced Technologies and R&D,Innovation culture,51.2,61.3,Qualifiers,Advanced Technologies and R&D,Innovation culture,47.9,70.1,Qualifiers,Advanced Technologies and R&D
Overall energy costs,11,10,Qualifiers,,,,,,R&D capabilities,55.3,80.7,Qualifiers,Advanced Technologies and R&D,R&D capabilities,72,82.8,Game changers,Advanced Technologies and R&D,R&D capabilities,58.9,60.5,Creating advantage,Advanced Technologies and R&D,R&D capabilities,83.9,69.4,Being challenged,Advanced Technologies and R&D
